\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202094,famid
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202143,fa20_3n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202130,fa20_3n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202131,fa20_3n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202156,fa20_4n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202157,fa20_4n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202144,fa20_4n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202145,fa20_4n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202158,fa20_5n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202159,fa20_5n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202116,fa22_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202132,fa22_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202133,fa22_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202146,fa22_2n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202147,fa22_2n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202148,fa22_4n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202149,fa22_4n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202160,fa22_5n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202161,fa22_5n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202150,fa22_5n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202151,fa22_5n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202162,fa22_6n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202163,fa22_6n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202118,fa24_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202119,fa24_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202134,fa24_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202135,fa24_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202172,t16_1n7_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202173,t16_1n7_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202174,t18_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202175,t18_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\HDL - TG - Glucose\,phv00259056,FBG
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\HDL - TG - Glucose\,phv00259055,HDL
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\HDL - TG - Glucose\,phv00259054,TG
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202164,dm16_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202165,dm16_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202166,dm18_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202167,dm18_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202168,dm18_1n7_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202169,dm18_1n7_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202170,dm18_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Plasmalogen - Fasting - Postprandial\,phv00202171,dm18_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202178,X_7_DHC_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202179,X_7_DHC_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202196,X_7b_HC_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202197,X_7b_HC_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202190,a_SITO_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202191,a_SITO_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202192,CAMP_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202193,CAMP_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202176,CHOL_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202177,CHOL_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202186,CSTN_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202187,CSTN_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202188,COPR_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202189,COPR_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202180,DESM_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202181,DESM_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202182,LANO_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202183,LANO_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202184,LATH_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202185,LATH_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202194,STIG_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Sterols - Stanols - Fasting - Postprandial\,phv00202195,STIG_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Physical Measurements and Observations\,phv00259051,BMI
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Physical Measurements and Observations\,phv00259053,DBP
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Physical Measurements and Observations\,phv00259049,MetS
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Physical Measurements and Observations\,phv00259052,SBP
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Physical Measurements and Observations\,phv00259050,WC
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Sociodemography and Administration\,phv00202104,age
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Sociodemography and Administration\,phv00202105,center
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Sociodemography and Administration\,phv00202102,id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Sociodemography and Administration\,phv00202103,sex
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Sample Attribute Information\,phv00202200,ANALYTE_TYPE
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Sample Attribute Information\,phv00202199,BODY_SITE
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Sample Attribute Information\,phv00202201,GENOTYPING_CENTER
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Sample Attribute Information\,phv00202198,Sample_id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Sample Attribute Information\,phv00202202,SEQUENCING_CENTER
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject- Consent - Affection Status Information\,phv00202093,affection_status
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject- Consent - Affection Status Information\,phv00202090,consent
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject- Consent - Affection Status Information\,phv00202089,id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject- Consent - Affection Status Information\,phv00202091,subject_source
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject- Consent - Affection Status Information\,phv00202092,subject_source_id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject-Sample Mapping\,phv00202099,id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject-Sample Mapping\,phv00202100,Sample_id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Subject-Sample Mapping\,phv00202101,SAMPLE_USE
