\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Affection Status\,phv00121844,phenotype
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Pregnancies\,phv00121867,times_pregnant
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Pregnancies\,phv00121868,pregnant_complete
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Pregnancies\,phv00121869,pregnant_livebirth
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Surgery\,phv00121858,hospital_nosurgery
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Surgery\,phv00121859,surgery
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121860,VTE
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121861,age_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121862,warfarin_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121863,OC_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121864,pregnant_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121865,postpartum_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121866,HRT_clot
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121870,clotht_cms
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Venous Thrombosis (VTE)\,phv00121871,clotwt_kgs
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Physical Observations\,phv00121872,apptht_cms
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Physical Observations\,phv00121873,apptwt_kgs
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Lifestyle and Environment\,phv00121858,hospital_nosurgery
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Lifestyle and Environment\,phv00121859,surgery
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Lifestyle and Environment\,phv00121874,smoking
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Lifestyle and Environment\,phv00121862,warfarin_clot
